date,sessions,purchases,revenue
2025-03-27,2332,13,2192.37
2025-03-28,2235,22,2815.87
2025-03-29,2316,11,1422.31
2025-03-30,2514,20,2711.99
2025-03-31,2174,8,757.59
2025-04-01,2125,12,2023.44
2025-04-02,2221,19,2255.32
2025-04-03,2075,6,669.06
2025-04-04,2011,10,1836.64
2025-04-05,2361,14,2398.88
2025-04-06,2671,12,1373.05
2025-04-07,2348,17,1766.32
2025-04-08,2299,15,2825.85
2025-04-09,2107,14,1590.26
2025-04-10,2331,20,2135.9
2025-04-11,2316,19,2557.14
2025-04-12,2841,21,2179.86
2025-04-13,2992,17,2279.67
2025-04-14,2431,10,1806.19
2025-04-15,2349,18,2138.21
2025-04-16,2329,18,3887.76
2025-04-17,2218,24,5604.73
2025-04-18,2494,18,2542.78
2025-04-19,2630,18,2769.08
2025-04-20,2504,11,1497
2025-04-21,2440,14,2606.59
2025-04-22,2264,12,2300.79
2025-04-23,2223,21,3102.27
2025-04-24,2127,13,1786.39
2025-04-25,2119,11,1286.54
2025-04-26,2364,15,1547.29
2025-04-27,2505,12,1590.26
2025-04-28,2327,14,1914.52
2025-04-29,2278,16,2690.86
2025-04-30,2187,11,1801.87
2025-05-01,2093,22,2678
