date,sessions,engaged_sessions
2025-01-08,200883,122466
2025-01-09,203681,127968
2025-01-10,224202,135657
2025-01-11,210844,134887
2025-01-12,228937,140623
2025-01-13,191000,116333
2025-01-14,201812,127812
2025-01-15,214289,129651
2025-01-16,222711,136522
2025-01-17,212511,130680
2025-01-18,229476,135876
2025-01-19,237248,145970
2025-01-20,209277,129344
2025-01-21,212341,130081
2025-01-22,207780,125786
2025-01-23,215391,127971
2025-01-24,241166,145074
2025-01-25,240991,146139
2025-01-26,237074,147099
2025-01-27,192955,113067
2025-01-28,163630,97717
2025-01-29,174481,110621
2025-01-30,163332,102437
2025-01-31,172707,104028
2025-02-01,185771,110491
2025-02-02,187494,113728
2025-02-03,184326,105815
2025-02-04,176257,104832
2025-02-05,184512,110149
2025-02-06,194162,116592
2025-02-07,182025,107563
2025-02-08,188188,113135
2025-02-09,188178,110880
2025-02-10,188262,108236
2025-02-11,191739,110161
2025-02-12,195160,115912
2025-02-13,181553,107679
2025-02-14,183628,103385
2025-02-15,204383,124050
2025-02-16,242413,144003
2025-02-17,232117,139151
2025-02-18,210189,121771
2025-02-19,222258,131536
2025-02-20,213439,126119
2025-02-21,201818,115500
2025-02-22,207936,125874
2025-02-23,232679,137237
2025-02-24,240370,144499
2025-02-25,252333,149965
2025-02-26,255331,157682
2025-02-27,220037,130079
2025-02-28,193465,117247
2025-03-01,201733,123726
2025-03-02,223276,131895
2025-03-03,209660,125433
2025-03-04,178039,109401
2025-03-05,201063,123858
2025-03-06,208526,123666
2025-03-07,194742,112914
2025-03-08,208907,126216
2025-03-09,215033,126608
2025-03-10,205250,128337
2025-03-11,194191,118778
2025-03-12,206628,124829
2025-03-13,188187,115038
2025-03-14,184408,106136
2025-03-15,202942,122311
2025-03-16,205996,122704
2025-03-17,188078,114041
2025-03-18,189085,113108
2025-03-19,188946,112390
2025-03-20,192289,114042
2025-03-21,195316,114407
2025-03-22,189962,112073
2025-03-23,214686,131383
2025-03-24,196397,120866
2025-03-25,197326,119021
2025-03-26,188013,113714
2025-03-27,185996,108988
2025-03-28,174160,99305
2025-03-29,183528,104329
2025-03-30,182417,109833
2025-03-31,174657,103752
2025-04-01,175118,108300
2025-04-02,179103,108387
2025-04-03,179526,103937
2025-04-04,164161,97401
2025-04-05,169484,101386
2025-04-06,183305,111672
2025-04-07,177146,102193
2025-04-08,172699,105030
2025-04-09,170864,103486
2025-04-10,212657,128715
2025-04-11,201157,121006
2025-04-12,206294,122380
2025-04-13,216626,130826
2025-04-14,192204,112889
2025-04-15,184778,106376
2025-04-16,193709,113093
2025-04-17,195029,113224
2025-04-18,185312,106645
2025-04-19,183476,105107
2025-04-20,183466,109397
2025-04-21,192033,114898
2025-04-22,202716,117262
2025-04-23,198331,113514
2025-04-24,183231,103646
2025-04-25,156771,91301
2025-04-26,155320,91112
2025-04-27,177488,105300
2025-04-28,171546,97967
2025-04-29,169938,97522
2025-04-30,170316,99412
2025-05-01,168877,97901
2025-05-02,165571,95265
2025-05-03,177363,100997
2025-05-04,195511,115147
2025-05-05,173243,98006
2025-05-06,147986,87369
2025-05-07,182884,111493
2025-05-08,197286,109298
2025-05-09,195930,108406
2025-05-10,192749,102342
2025-05-11,183153,97846
2025-05-12,185983,106295
2025-05-13,196805,112846
2025-05-14,184589,104318
2025-05-15,178992,101129
2025-05-16,166710,93596
2025-05-17,172429,97253
2025-05-18,182600,105208
2025-05-19,174558,98795
2025-05-20,175332,96780
2025-05-21,196181,110003
2025-05-22,196417,110758
2025-05-23,202922,113743
2025-05-24,217319,122612
2025-05-25,249088,139964
2025-05-26,266727,146629
2025-05-27,213275,115964
2025-05-28,215122,122838
2025-05-29,209094,119845
2025-05-30,180849,99028
2025-05-31,169987,95827
2025-06-01,176649,102488
2025-06-02,178647,99622
2025-06-03,191782,102541
2025-06-04,189123,103292
2025-06-05,191594,105304
2025-06-06,179043,96820
2025-06-07,176085,97026
2025-06-08,193633,108007
2025-06-09,189776,103718
2025-06-10,217620,116534
2025-06-11,223582,119788
2025-06-12,219579,120618
2025-06-13,223601,118758
2025-06-14,206311,108474
2025-06-15,221971,121011
2025-06-16,226325,121961
2025-06-17,215907,113536
2025-06-18,206912,114241
2025-06-19,219566,115163
2025-06-20,207235,107963
2025-06-21,212601,109190
2025-06-22,209246,108959
2025-06-23,201478,108037
2025-06-24,197859,103087
2025-06-25,202329,107283
2025-06-26,200320,104179
2025-06-27,197215,104495
2025-06-28,208293,112483
2025-06-29,226681,124431
2025-06-30,217693,119593
2025-07-01,231942,123928
2025-07-02,221270,119740
2025-07-03,211115,112619
2025-07-04,197178,102592
2025-07-05,222708,117541
2025-07-06,219941,118673
2025-07-07,202369,114632
2025-07-08,242145,135415
2025-07-09,216526,119210
2025-07-10,211339,118101
2025-07-11,226916,123401
2025-07-12,216037,119095
2025-07-13,225559,126093
2025-07-14,210590,114517
2025-07-15,258159,147879
2025-07-16,258306,147543
2025-07-17,251947,142825
2025-07-18,238664,109461
