date,sessions,purchases,revenue
2024-11-05,11546,47,9239.25
2024-11-06,11237,59,11086.57
2024-11-07,11876,84,14218.86
2024-11-08,11683,53,9913.62
2024-11-09,12268,49,8950.44
2024-11-10,13942,61,12918.42
2024-11-11,13534,80,17505.02
2024-11-12,13216,61,10519.47
2024-11-13,13376,66,11221.39
2024-11-14,13575,69,13260.66
2024-11-15,12816,56,10575.37
2024-11-16,14328,75,14575.97
2024-11-17,23414,140,34829.86
2024-11-18,15220,73,14853.52
2024-11-19,15142,64,12434.3
2024-11-20,14769,60,11868.65
2024-11-21,14424,107,19158.85
2024-11-22,14011,105,18527.98
2024-11-23,16849,84,14896.14
2024-11-24,17940,100,22088.49
2024-11-25,17429,118,20250.57
2024-11-26,17145,133,30871.08
2024-11-27,17942,116,21668.32
2024-11-28,21030,182,40102.37
2024-11-29,23993,366,72611.52
2024-11-30,20652,151,30497.09
2024-12-01,20351,167,29025.42
2024-12-02,19439,196,32286.58
2024-12-03,17650,197,37729.97
2024-12-04,15700,108,19818.2
2024-12-05,15207,124,20468.12
2024-12-06,13492,87,13147.84
2024-12-07,15311,95,14584.25
2024-12-08,16837,107,17043.68
2024-12-09,15738,147,21068.56
2024-12-10,16572,91,13505.7
2024-12-11,16784,91,16811.34
2024-12-12,16232,95,17290.15
2024-12-13,15392,72,12891.71
2024-12-14,19328,88,15527.92
2024-12-15,21341,84,14401.2
2024-12-16,17545,76,16646.72
2024-12-17,15647,71,12354.73
2024-12-18,15357,73,13685.77
2024-12-19,14221,50,8332.61
2024-12-20,13389,64,9828.19
2024-12-21,15045,55,9233.79
2024-12-22,15902,35,4942.77
2024-12-23,14859,54,10147.03
2024-12-24,14005,60,11769.05
2024-12-25,18190,74,12527.47
2024-12-26,21235,140,23281.9
2024-12-27,17883,99,16653.5
2024-12-28,16631,79,14615.29
2024-12-29,16553,75,16252.39
2024-12-30,15351,79,13494.68
2024-12-31,12507,60,11851.7
2025-01-01,14402,102,20078.46
2025-01-02,16033,78,12805.59
2025-01-03,15850,79,14871.51
2025-01-04,15821,69,11273.22
2025-01-05,14993,54,10921.4
2025-01-06,14567,61,12833.13
2025-01-07,15682,70,12703.04
2025-01-08,14960,67,15001.32
2025-01-09,13647,81,14808.15
2025-01-10,13848,138,29956.44
2025-01-11,15416,85,13610.7
2025-01-12,16685,62,10172.71
2025-01-13,15194,80,12521.34
2025-01-14,15088,60,13237.56
2025-01-15,15575,59,12021.28
2025-01-16,16057,79,13007.58
2025-01-17,15439,72,10830.84
2025-01-18,16055,91,13254.44
2025-01-19,17967,72,12178.97
2025-01-20,14636,46,7427.64
2025-01-21,14814,55,10902.58
2025-01-22,14566,78,14404.55
2025-01-23,13555,47,7765.39
2025-01-24,14305,67,13703.59
2025-01-25,16354,81,13265.19
2025-01-26,16193,75,13942.8
2025-01-27,14544,54,10030.85
2025-01-28,14412,46,6998.23
2025-01-29,14030,55,8310.23
2025-01-30,13664,76,13898.59
2025-01-31,13571,69,10360.22
2025-02-01,16268,45,6865.89
2025-02-02,17094,44,7229.77
2025-02-03,15143,45,7118.25
2025-02-04,14747,55,8406.35
2025-02-05,14540,72,9674.19
2025-02-06,14125,56,8878.76
2025-02-07,12571,55,10201.83
2025-02-08,14376,49,15235.7
2025-02-09,14173,50,9012.54
2025-02-10,12998,41,8630.2
2025-02-11,12524,47,9628.95
2025-02-12,14826,57,12380.19
2025-02-13,12578,53,11978.32
2025-02-14,11069,51,10805.55
2025-02-15,13054,54,10809.49
2025-02-16,15260,66,16868.3
2025-02-17,14232,64,13315.28
2025-02-18,14109,47,9213.63
2025-02-19,14474,64,12102.93
2025-02-20,14144,40,7190.36
2025-02-21,13460,59,11830.39
2025-02-22,14708,44,6964.08
2025-02-23,15222,51,12301.48
2025-02-24,14040,64,10755.58
2025-02-25,12976,62,11940.38
2025-02-26,13547,82,16529.04
2025-02-27,12283,51,9918.2
