style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
205400-HWT3,FP,22M2,,,0,0,0,YES,,129,89.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205405-GSML,FP,22M2,8/15/2022,,0,0,0,YES,,129,74.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205488-HVSM,FP,22S3,4/9/2022,44664,2,2,0,YES,LIVE,159,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205489-HVLL,FP,22S2,,,0,0,0,YES,,159,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205492-1800,OP,22S3,3/10/2022,44636,1,975,0,YES,LIVE,159,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205495-HVGD,OP,22S3,4/11/2022,44665,-1,0,0,YES,,159,114.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205497-HVQM,OP,22S2,3/14/2022,,0,0,0,YES,,129,74.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205509-HVO2,FP,22S1,11/17/2022,44636,39,39,0,YES,LIVE,169,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205511-HUU1,FP,22S2,3/7/2022,44652,1,1,0,YES,LIVE,129,89.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205519-HPPB,FP,22S2,3/8/2022,44629,-1,0,0,YES,,159,99.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205520-GYJM,FP,22S2,5/13/2022,44655,0,0,0,YES,,129,89.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
205755-HXBM,OP,22M1,5/9/2022,44693,-2,0,0,YES,,129,79.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
